,school_name,address,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code
281,NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE,449149,Nil,"13, 16, 31,36, 55, 608, 197, 196, 135 (at Marine Parade road) 13, 16 and 196 (at Marine Terrace)",MARINE PARADE,CO-ED SCHOOL,PRIMARY
282,RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3,469719,Bedok MRT,"Bus 14, 17, 18, 28, 66, 67, 69, 222, 227, 228",BEDOK,CO-ED SCHOOL,PRIMARY
283,TAO NAN SCHOOL,49 MARINE CRESCENT,449761,"Paya Lebar, Eunos","13, 16, 31, 36, 43, 48, 55, 134, 196, 197",MARINE PARADE,CO-ED SCHOOL,PRIMARY
284,NANYANG PRIMARY SCHOOL,52 KING'S ROAD,268097,Farrer Rd MRT Station,"66, 67, 74, 93, 151, 153, 154, 156, 157, 165, 170, 171, 174, 186, 852, 855, 961",BUKIT TIMAH,CO-ED SCHOOL,PRIMARY
285,ST. ANTHONY'S PRIMARY SCHOOL,30 BUKIT BATOK ST 32,659401,Bukit Gombak MRT Station,945,BUKIT BATOK,CO-ED SCHOOL,PRIMARY
286,MAHA BODHI SCHOOL,10 UBI AVENUE 1,408931,"Eunos Station (Transfer Bus No.63, 63M) Ubi Station (Transfer Bus No. 137)","5,8,15,22,25,45,51,55,59,61,63,63M,65,66,93,94,854",GEYLANG,CO-ED SCHOOL,PRIMARY
287,PEI CHUN PUBLIC SCHOOL,580 TOA PAYOH EAST,319133,Toa Payoh Station and Braddell Station,"Bus Service 232, 57",TOA PAYOH,CO-ED SCHOOL,PRIMARY
288,POI CHING SCHOOL,21 TAMPINES STREET 71,529067,Tampines MRT,"Bus 293, 72, 27 and 168",TAMPINES,CO-ED SCHOOL,PRIMARY
289,KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH,319580,Braddell,"SBS 235,56,73,88,157,159,163,231,",TOA PAYOH,CO-ED SCHOOL,PRIMARY
290,NAN HUA PRIMARY SCHOOL,170 WEST COAST ROAD,127443,Clementi MRT Station,"30, 51, 143, 175, 201, 533, 655, 727, 762",CLEMENTI,CO-ED SCHOOL,PRIMARY
291,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE,597610,Beauty World,"970, 852, 174, 173, 157, 77, 61",BUKIT TIMAH,CO-ED SCHOOL,PRIMARY
292,AI TONG SCHOOL,100 BRIGHT HILL DRIVE,579646,Bishan MRT,"410, 162, 52",BISHAN,CO-ED SCHOOL,PRIMARY
293,HONG WEN SCHOOL,30 TOWNER ROAD,327829,Boon Keng MRT,"Serangoon Road: 13, 23, 31, 64, 65, 66, 125, 133, 147, 857, 985 Balestier Road: 21, 125, 130, 139, 145",KALLANG,CO-ED SCHOOL,PRIMARY
294,HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON,536451,2km walk to Hougang MRT,"51,72,80,101,119,132,136,153.",HOUGANG,CO-ED SCHOOL,PRIMARY
295,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO,536741,"Aljunied, Kovan, Serangoon","53, 62, 113, 45",HOUGANG,GIRLS' SCHOOL,PRIMARY
296,CHONGFU SCHOOL,170 YISHUN AVENUE 6,768959,Yishun MRT station,Feeder Service 811,YISHUN,CO-ED SCHOOL,PRIMARY
297,CHIJ (KATONG) PRIMARY,17 MARTIA ROAD,424821,EUNOS PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",BEDOK,GIRLS' SCHOOL,PRIMARY
298,ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD,309918,Newton MRT Station,"Bus 48, 66, 67, 170, 171, 603, 700",NOVENA,BOYS' SCHOOL,PRIMARY
299,ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD,139650,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","14, 33, 74, 166, 196",QUEENSTOWN,CO-ED SCHOOL,MIXED LEVEL
300,ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD,678117,CASHEW MRT,"67, 75, 170, 171, 176, 178, 184, 961, 963, 970",BUKIT PANJANG,CO-ED SCHOOL,SECONDARY
301,CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH,319764,TOA PAYOH MRT,"59, 141, 231",TOA PAYOH,GIRLS' SCHOOL,SECONDARY
302,GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL,389705,ALJUNIED MRT,"40,62,63,80,100,125,134,155,158",GEYLANG,CO-ED SCHOOL,SECONDARY
303,CHIJ KATONG CONVENT,346 MARINE TERRACE,449150,KEMBANGAN MRT,"4N, 13, 16, 31, 36, 43, 47, 48, 55, 134, 135, 150, 196, 196E, 197, 763",MARINE PARADE,GIRLS' SCHOOL,SECONDARY
304,MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8,538785,HOUGANG MRT,"74, 74E, 88, 101, 147, 147A, 161",HOUGANG,BOYS' SCHOOL,SECONDARY
305,SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD,309437,STEVENS MRT,"48, 66, 67, 105, 132, 151, 153, 154, 156, 170, 171, 186, 190, 700, 700A, 960, 971E, 972",NOVENA,GIRLS' SCHOOL,SECONDARY
306,ST. ANDREW'S SECONDARY SCHOOL,15 FRANCIS THOMAS DRIVE,359342,POTONG PASIR MRT,"8, 13, 26, 31, 90, 90A, 107, 133, 142, 147, 853",TOA PAYOH,BOYS' SCHOOL,SECONDARY
307,ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,"BEDOK MRT, BEDOK RESERVOIR MRT",17,BEDOK,GIRLS' SCHOOL,SECONDARY
308,ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1,556140,SERANGOON MRT,158,SERANGOON,BOYS' SCHOOL,SECONDARY
309,CHIJ ST. JOSEPH'S CONVENT,62 SENGKANG EAST WAY,548595,SENGKANG MRT,"50, 82, 86, 88, 119,136",SENG KANG,GIRLS' SCHOOL,SECONDARY
310,ST. JOSEPH'S INSTITUTION,38 MALCOLM ROAD,308274,STEVENS MRT,"105, 132, 151, 153, 154, 156, 186, 190, 700, 960, 972",NOVENA,CO-ED SCHOOL,MIXED LEVEL
311,ST. MARGARET'S SECONDARY SCHOOL,111 FARRER ROAD,259240,FARRER ROAD MRT,"48, 93, 153, 165, 174, 186, 855, 961",BUKIT TIMAH,GIRLS' SCHOOL,SECONDARY
312,ST. PATRICK'S SCHOOL,490 EAST COAST ROAD,429058,KEMBANGAN MRT,"10,12,13,14,16,31,32,36,40,48,55,76,155,135,196,197",BEDOK,BOYS' SCHOOL,SECONDARY
313,CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD,99138,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",BUKIT MERAH,GIRLS' SCHOOL,SECONDARY
314,CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17,737924,WOODLANDS MRT,901,WOODLANDS,CO-ED SCHOOL,SECONDARY
315,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO,536742,"KOVAN MRT, SERANGOON MRT","45, 53, 53M, 62, 113",HOUGANG,GIRLS' SCHOOL,SECONDARY
316,YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1,538884,"KOVAN MRT, SERANGOON MRT, HOUGANG MRT","25,51,53,53M,55,62,87,113,119,151,854",HOUGANG,CO-ED SCHOOL,SECONDARY
317,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13,579795,BISHAN MRT,"53, 54, 56, 410G, 410W",BISHAN,CO-ED SCHOOL,SECONDARY
318,ST. HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82,528986,"TAMPINES MRT, TAMPINES WEST MRT","22, 129, 293, 298",TAMPINES,CO-ED SCHOOL,SECONDARY
319,METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE,599986,KING ALBERT PARK MRT,"66, 67, 74, 77, 151, 154, 157, 170, 171, 174, 563, 852, 961, 970",BUKIT TIMAH,GIRLS' SCHOOL,SECONDARY
320,HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6,519421,PASIR RIS MRT,"3, 5, 6, 12, 17, 21, 89, 354, 358",PASIR RIS,CO-ED SCHOOL,SECONDARY
321,ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD,309919,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 171, 700, 960",NOVENA,BOYS' SCHOOL,SECONDARY
322,ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD,487012,TANAH MERAH MRT,"2, 9, 12, 14, 24, 31, 35, 38, 45, 47, 48",BEDOK,CO-ED SCHOOL,SECONDARY
323,CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22,579767,BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",BISHAN,BOYS' SCHOOL,MIXED LEVEL
324,CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD,439012,DAKOTA MRT,"10,12,14,16,30,31,32,33,40,43,135,134,196,197",MARINE PARADE,CO-ED SCHOOL,SECONDARY
325,CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61,768547,KHATIB MRT,"85, 811, 812, 851, 852, 853, 854, 855, 858, 860, 965, 969",YISHUN,CO-ED SCHOOL,SECONDARY
326,HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,HOUGANG MRT,"27, 72, 74, 80, 87, 89, 101, 107, 113, 116, 119, 132, 136, 147, 153, 161, 165, 324, 325",HOUGANG,CO-ED SCHOOL,SECONDARY
327,MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD,368051,BARTLEY MRT,"28, 93, 100, 135, 155, 158",TOA PAYOH,BOYS' SCHOOL,MIXED LEVEL
328,NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK,545079,"SENGKANG MRT, RENJONG LRT, TONGKANG LRT","43, 83, 85, 109, 156, 159, 161, 163, 372",SENG KANG,CO-ED SCHOOL,SECONDARY
329,NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE,288683,"SIXTH AVENUE MRT, TAN KAH KEE MRT","66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,GIRLS' SCHOOL,SECONDARY
330,CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13,569405,"ANG MO KIO MRT, YIO CHU KANG MRT","76, 265, 268, 269",ANG MO KIO,GIRLS' SCHOOL,MIXED LEVEL
331,MARYMOUNT CONVENT SCHOOL,20 MARYMOUNT ROAD,297754,Braddell MRT Station or  Caldecott MRT Station,"141, 235",TOA PAYOH,GIRLS' SCHOOL,PRIMARY
332,MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1,408940,"EUNOS MRT, MACPHERSON MRT, UBI MRT","5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 63M, 65, 66, 93, 94, 854",GEYLANG,CO-ED SCHOOL,SECONDARY
333,PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,YIO CHU KANG MRT,"45, 70, 71, 76, 86, 128, 668, 733, 825, 851, 852, 853",ANG MO KIO,CO-ED SCHOOL,SECONDARY
334,FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD,139649,"BUONA VISTA MRT, ONE-NORTH MRT","33,14,74,166,196",QUEENSTOWN,CO-ED SCHOOL,SECONDARY
335,NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32,529283,"TAMPINES MRT, SIMEI MRT, TAMPINES EAST MRT","3, 4, 8, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 38, 39, 59, 81, 291, 293, 518, 552",TAMPINES,CO-ED SCHOOL,SECONDARY
336,SINGAPORE SPORTS SCHOOL,1 CHAMPIONS WAY,737913,Woodlands MRT,"900A, 901",WOODLANDS,CO-ED SCHOOL,MIXED LEVEL
337,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 CLEMENTI AVENUE 1,129957,Nearest MRT Stations - Clementi and Dover,"96, 97, 151, 183, 188, 196, 197, 198",CLEMENTI,CO-ED SCHOOL,MIXED LEVEL
338,"SCHOOL OF THE ARTS, SINGAPORE",1 ZUBIR SAID DRIVE,227968,Dhoby Ghaut,"7, 14, 16, 36, 64, 65, 77, 106, 111, 124, 128, 131, 147, 162, 166, 167, 171, 174, 175, 190, 502, 518, 700, 857,",CENTRAL,CO-ED SCHOOL,MIXED LEVEL
339,NORTHLIGHT SCHOOL,151 TOWNER ROAD,327830,BOON KENG (NE9),"21, 125, 130, 139, 145, 13, 23, 31, 64, 65, 133, 147, 857, 985",MARINE PARADE,CO-ED SCHOOL,SECONDARY
340,ASSUMPTION PATHWAY SCHOOL,30 CASHEW ROAD,679697,"Downtown Line 2, Cashew mrt","SBS Transit No 170    SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",BUKIT PANJANG,CO-ED SCHOOL,SECONDARY
341,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1 TECHNOLOGY DRIVE,138572,Dover,"14, 74, 105, 106, 147, 166, 185",CLEMENTI,CO-ED SCHOOL,SECONDARY
342,CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24,609561,"BUKIT BATOK MRT, JURONG EAST MRT","52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502,",JURONG EAST,CO-ED SCHOOL,SECONDARY
343,SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64,737758,ADMIRALTY MRT,"904, 912, 913, 962, 964, 965, 969",WOODLANDS,CO-ED SCHOOL,SECONDARY
