,school_name,address,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code
187,CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT,688845,CHOA CHU KANG MRT,"190, 307, 975, 982E, 985",CHOA CHU KANG,CO-ED SCHOOL,SECONDARY
188,DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",BEDOK,CO-ED SCHOOL,SECONDARY
189,NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22,768578,YISHUN MRT,"811, 804, 800",YISHUN,CO-ED SCHOOL,SECONDARY
190,PEIRCE SECONDARY SCHOOL,10 SIN MING WALK,575566,"ANG MO KIO MRT, BISHAN MRT, MARYMOUNT MRT","52, 132, 162, 163, 165, 166, 167, 410, 855, 980",BISHAN,CO-ED SCHOOL,SECONDARY
191,JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1,609790,"JURONG EAST MRT, CHINESE GARDEN MRT","98, 99, 157, 185, 187, 198, 334, 502",JURONG EAST,CO-ED SCHOOL,SECONDARY
192,FAJAR SECONDARY SCHOOL,31 GANGSA ROAD,678972,"BUKIT PANJANG MRT, BUKIT PANJANG LRT, PETIR LRT","67, 75, 170, 171, 176, 177, 178, 180, 960, 961, 961C, 963, 963E, 963R, 970, 979, 979M",BUKIT PANJANG,CO-ED SCHOOL,SECONDARY
193,KRANJI SECONDARY SCHOOL,38 TECK WHYE CRESCENT,688945,CHUA CHU KANG MRT YEW TEE MRT,302,CHOA CHU KANG,CO-ED SCHOOL,SECONDARY
194,JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91,649038,"BOON LAY MRT, PIONEER MRT, JOO KOON MRT","99, 241",JURONG WEST,CO-ED SCHOOL,SECONDARY
195,WEST SPRING SECONDARY SCHOOL,61 SENJA  ROAD,677737,"JELAPANG LRT, SENJA LRT","920, 972",BUKIT PANJANG,CO-ED SCHOOL,SECONDARY
196,JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65,648348,"BOON LAY MRT, PIONEER MRT","30, 154, 157, 180, 187, 198, 242",JURONG WEST,CO-ED SCHOOL,SECONDARY
197,BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3,469722,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",BEDOK,CO-ED SCHOOL,SECONDARY
198,PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS,828870,"PUNGGOL MRT, COVE LRT","3, 34, 62, 82, 83, 85, 136, 965, 386",PUNGGOL,CO-ED SCHOOL,SECONDARY
199,NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK,545081,"SENGKANG MRT, BUANGKOK MRT, RANGGUNG LRT","80, 82, 87, 88, 89, 119",SENG KANG,CO-ED SCHOOL,SECONDARY
200,ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT,737916,ADMIRALTY MRT,904,WOODLANDS,CO-ED SCHOOL,SECONDARY
201,PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK,797702,"SENGKANG MRT, LAYAR LRT","50, 70, 86, 103, 163, 854",SENG KANG,CO-ED SCHOOL,SECONDARY
202,GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS,828866,"PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386",PUNGGOL,CO-ED SCHOOL,SECONDARY
203,EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD,828814,PUNGGOL MRT,"3,34,62,82,83,119,136,381,382G",PUNGGOL,CO-ED SCHOOL,SECONDARY
204,MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51,518901,PASIR RIS MRT,"39, 53, 81, 89, 109, 359, 403, 518",PASIR RIS,CO-ED SCHOOL,SECONDARY
205,LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11,519073,PASIR RIS MRT,"12, 21, 39, 53, 81, 359, 351",PASIR RIS,CO-ED SCHOOL,SECONDARY
206,DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD,436895,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",KALLANG,CO-ED SCHOOL,MIXED LEVEL
207,RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE,649961,BOON LAY MRT,"99, 157, 172, 174, 174E, 198, 502, 502A, SS4, NR5",JURONG WEST,CO-ED SCHOOL,MIXED LEVEL
208,AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7,768928,YISHUN MRT,"980, 167, 169, 800, 811, 812, 965, 969, 858, 856, 859",YISHUN,CO-ED SCHOOL,SECONDARY
209,BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT,399935,DAKOTA MRT,"10, 16, 30, 31, 32, 33",GEYLANG,CO-ED SCHOOL,SECONDARY
210,BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU,159050,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",BUKIT MERAH,CO-ED SCHOOL,SECONDARY
211,BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4,689809,CHOA CHU KANG MRT,"300, 983",CHOA CHU KANG,CO-ED SCHOOL,SECONDARY
212,DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45,529093,TAMPINES EAST MRT,"28, 29, 293",TAMPINES,CO-ED SCHOOL,SECONDARY
213,JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD,618652,LAKESIDE MRT,"30, 49, 98, 98A, 154, 240, 246",JURONG WEST,CO-ED SCHOOL,SECONDARY
214,NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689,KHATIB MRT,"39, 811, 812, 851, 852, 853, 854, 855, 858, 965, 969",YISHUN,CO-ED SCHOOL,SECONDARY
215,OUTRAM SECONDARY SCHOOL,3 YORK HILL,168622,OUTRAM PARK MRT,"174 , 123, 16, 175, 195, 33, 5, 63, 75, 851, 970, 123, 186, 51, 64",CENTRAL,CO-ED SCHOOL,SECONDARY
216,YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,YIO CHU KANG MRT,"13, 45, 86, 138, 162, 269, 851, 852, 853",ANG MO KIO,CO-ED SCHOOL,SECONDARY
217,YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD,618654,LAKESIDE MRT,"154, 240, 246, 98, 154, 180, 182, 187",JURONG WEST,CO-ED SCHOOL,SECONDARY
218,BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65,648354,BOON LAY MRT,"99,181,192,193,243,192,193,242,243,257, 502,502A",JURONG WEST,CO-ED SCHOOL,SECONDARY
219,BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3,469293,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506",BEDOK,CO-ED SCHOOL,SECONDARY
220,HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42,649371,"LAKESIDE MRT, CHINESE GARDEN MRT","98, 98A, 99, 157, 187, 198, 334, 335, 502",JURONG WEST,CO-ED SCHOOL,SECONDARY
221,DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42,569277,ANG MO KIO MRT,"22, 24, 25, 73, 74, 76, , 88, 132, 135, 159, 162, 165, 261, 262, 268, 853",ANG MO KIO,CO-ED SCHOOL,SECONDARY
