,school_name,full_add,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code,latlong
193,KRANJI SECONDARY SCHOOL,38 TECK WHYE CRESCENT,688945,CHUA CHU KANG MRT YEW TEE MRT,302,CHOA CHU KANG,CO-ED SCHOOL,SECONDARY,"1.3816939899436298,103.756493446009"
194,JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91,649038,"BOON LAY MRT, PIONEER MRT, JOO KOON MRT","99, 241",JURONG WEST,CO-ED SCHOOL,SECONDARY,"1.33817883513509,103.687206505485"
195,WEST SPRING SECONDARY SCHOOL,61 SENJA  ROAD,677737,"JELAPANG LRT, SENJA LRT","920, 972",BUKIT PANJANG,CO-ED SCHOOL,SECONDARY,"1.38483408562146,103.76150820357"
196,JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65,648348,"BOON LAY MRT, PIONEER MRT","30, 154, 157, 180, 187, 198, 242",JURONG WEST,CO-ED SCHOOL,SECONDARY,"1.3408784292682199,103.700093879118"
197,BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3,469722,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",BEDOK,CO-ED SCHOOL,SECONDARY,"1.3338266806576102,103.935513154683"
198,PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS,828870,"PUNGGOL MRT, COVE LRT","3, 34, 62, 82, 83, 85, 136, 965, 386",PUNGGOL,CO-ED SCHOOL,SECONDARY,"1.40212629480046,103.909119265199"
199,NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK,545081,"SENGKANG MRT, BUANGKOK MRT, RANGGUNG LRT","80, 82, 87, 88, 89, 119",SENG KANG,CO-ED SCHOOL,SECONDARY,"1.38125201421056,103.898926885819"
200,ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT,737916,ADMIRALTY MRT,904,WOODLANDS,CO-ED SCHOOL,SECONDARY,"1.44589068910994,103.80239819659599"
201,PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK,797702,"SENGKANG MRT, LAYAR LRT","50, 70, 86, 103, 163, 854",SENG KANG,CO-ED SCHOOL,SECONDARY,"1.39038045690067,103.87859347010401"
202,GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS,828866,"PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386",PUNGGOL,CO-ED SCHOOL,SECONDARY,"1.39728080015401,103.911575840457"
